r,Integral,Error,Time
100.000, 1.61100005E-06, 1.730E-07, 3.308E+02
101.000, 4.52550948E-06, 1.788E-07, 3.323E+02
102.000, 6.87630083E-06, 1.746E-07, 3.324E+02
103.000, 8.27915088E-06, 1.713E-07, 3.321E+02
104.000, 8.84584504E-06, 1.689E-07, 3.320E+02
105.000, 8.57950423E-06, 1.688E-07, 3.321E+02
106.000, 7.48080701E-06, 1.682E-07, 3.319E+02
107.000, 5.45774718E-06, 1.688E-07, 3.320E+02
108.000, 3.16179281E-06, 1.666E-07, 3.318E+02
109.000, 8.99092757E-07, 1.634E-07, 3.319E+02
110.000, -1.56403994E-06, 1.656E-07, 3.318E+02
111.000, -3.87119177E-06, 1.647E-07, 3.319E+02
112.000, -5.75808303E-06, 1.660E-07, 3.320E+02
113.000, -6.66199890E-06, 1.608E-07, 3.318E+02
114.000, -7.15357333E-06, 1.590E-07, 3.318E+02
115.000, -7.03372559E-06, 1.615E-07, 3.318E+02
116.000, -6.06852538E-06, 1.622E-07, 3.317E+02
117.000, -4.36046572E-06, 1.596E-07, 3.317E+02
118.000, -2.57154010E-06, 1.596E-07, 3.317E+02
119.000, -7.27949383E-07, 1.579E-07, 3.317E+02
120.000, 1.25071467E-06, 1.614E-07, 3.317E+02
121.000, 2.99697522E-06, 1.596E-07, 3.318E+02
122.000, 4.47838779E-06, 1.627E-07, 3.317E+02
123.000, 5.15983959E-06, 1.556E-07, 3.317E+02
124.000, 5.57009007E-06, 1.552E-07, 3.319E+02
125.000, 5.46144965E-06, 1.537E-07, 3.316E+02
126.000, 4.61551158E-06, 1.580E-07, 3.316E+02
127.000, 3.20648488E-06, 1.556E-07, 3.317E+02
128.000, 1.72603643E-06, 1.534E-07, 3.318E+02
129.000, 3.32296568E-07, 1.553E-07, 3.317E+02
130.000, -1.31002844E-06, 1.530E-07, 3.316E+02
131.000, -2.72164023E-06, 1.531E-07, 3.318E+02
132.000, -3.87579249E-06, 1.586E-07, 3.318E+02
133.000, -4.51838636E-06, 1.519E-07, 3.317E+02
134.000, -4.77163411E-06, 1.544E-07, 3.317E+02
135.000, -4.52029708E-06, 1.521E-07, 3.316E+02
136.000, -4.04403856E-06, 1.493E-07, 3.318E+02
137.000, -2.92325320E-06, 1.508E-07, 3.318E+02
138.000, -1.55588717E-06, 1.491E-07, 3.317E+02
139.000, -3.41428993E-07, 1.483E-07, 3.318E+02
140.000, 1.02957645E-06, 1.468E-07, 3.317E+02
141.000, 2.23777743E-06, 1.507E-07, 3.316E+02
142.000, 3.14865313E-06, 1.490E-07, 3.316E+02
143.000, 3.56873092E-06, 1.499E-07, 3.317E+02
144.000, 3.69391202E-06, 1.471E-07, 3.318E+02
145.000, 3.55272579E-06, 1.466E-07, 3.316E+02
146.000, 3.07089521E-06, 1.465E-07, 3.316E+02
147.000, 2.11859615E-06, 1.457E-07, 3.317E+02
148.000, 1.01265315E-06, 1.434E-07, 3.317E+02
149.000, 4.95498716E-08, 1.455E-07, 3.317E+02
150.000, -1.03294409E-06, 1.433E-07, 3.316E+02
151.000, -2.02385507E-06, 1.431E-07, 3.317E+02
152.000, -2.81890994E-06, 1.470E-07, 3.318E+02
153.000, -3.14648832E-06, 1.432E-07, 3.317E+02
