r,Integral,Error,Time
154.000, -3.29048907E-06, 1.400E-07, 3.316E+02
155.000, -3.13663542E-06, 1.417E-07, 3.317E+02
156.000, -2.68215053E-06, 1.376E-07, 3.317E+02
157.000, -1.87451602E-06, 1.428E-07, 3.317E+02
158.000, -9.83661009E-07, 1.410E-07, 3.316E+02
159.000, -8.24013413E-08, 1.423E-07, 3.318E+02
160.000, 7.38325821E-07, 1.402E-07, 3.317E+02
161.000, 1.68160015E-06, 1.400E-07, 3.317E+02
162.000, 2.21075860E-06, 1.377E-07, 3.317E+02
163.000, 2.49321003E-06, 1.391E-07, 3.317E+02
164.000, 2.51956114E-06, 1.400E-07, 3.316E+02
165.000, 2.47375885E-06, 1.387E-07, 3.316E+02
166.000, 2.14136863E-06, 1.378E-07, 3.317E+02
167.000, 1.37852780E-06, 1.379E-07, 3.318E+02
168.000, 6.73884339E-07, 1.337E-07, 3.318E+02
169.000, -5.95631548E-08, 1.368E-07, 3.316E+02
170.000, -7.66145791E-07, 1.380E-07, 3.316E+02
171.000, -1.59190768E-06, 1.361E-07, 3.317E+02
172.000, -2.03707575E-06, 1.356E-07, 3.317E+02
173.000, -2.26417188E-06, 1.314E-07, 3.316E+02
174.000, -2.24375625E-06, 1.358E-07, 3.318E+02
175.000, -2.20422547E-06, 1.356E-07, 3.317E+02
176.000, -1.89543302E-06, 1.311E-07, 3.316E+02
177.000, -1.25594382E-06, 1.342E-07, 3.317E+02
178.000, -6.34324447E-07, 1.335E-07, 3.317E+02
179.000, -3.49400599E-08, 1.315E-07, 3.317E+02
180.000, 5.71749333E-07, 1.334E-07, 3.317E+02
181.000, 1.21361261E-06, 1.303E-07, 3.317E+02
182.000, 1.64753793E-06, 1.326E-07, 3.318E+02
183.000, 1.89780183E-06, 1.298E-07, 3.317E+02
184.000, 1.80881685E-06, 1.313E-07, 3.316E+02
185.000, 1.81971327E-06, 1.297E-07, 3.316E+02
186.000, 1.45818370E-06, 1.310E-07, 3.317E+02
187.000, 8.65054807E-07, 1.278E-07, 3.316E+02
188.000, 3.81678170E-07, 1.288E-07, 3.316E+02
189.000, -1.49303014E-07, 1.296E-07, 3.318E+02
190.000, -6.77792337E-07, 1.280E-07, 3.317E+02
191.000, -1.19441069E-06, 1.259E-07, 3.317E+02
192.000, -1.60189559E-06, 1.251E-07, 3.317E+02
193.000, -1.62832718E-06, 1.280E-07, 3.318E+02
194.000, -1.71437633E-06, 1.242E-07, 3.317E+02
195.000, -1.64293248E-06, 1.261E-07, 3.316E+02
196.000, -1.39468870E-06, 1.265E-07, 3.317E+02
197.000, -9.39593955E-07, 1.264E-07, 3.317E+02
198.000, -4.42587105E-07, 1.263E-07, 3.317E+02
199.000, 9.70105615E-08, 1.267E-07, 3.316E+02
